time,x,v,KE,PE
3.74e-08,0.0654012,1.45484e+06,6.01695,2.13973
3.75e-08,0.0655462,1.44993e+06,5.97647,2.18572
3.76e-08,0.0656907,1.44499e+06,5.93575,2.23155
3.77e-08,0.0658347,1.43999e+06,5.8948,2.27723
3.78e-08,0.0659782,1.43495e+06,5.85361,2.32275
3.79e-08,0.0661212,1.42987e+06,5.81219,2.36811
3.8e-08,0.0662637,1.42474e+06,5.77056,2.41331
3.81e-08,0.0664056,1.41956e+06,5.72871,2.45834
3.82e-08,0.0665471,1.41434e+06,5.68664,2.50321
3.83e-08,0.066688,1.40907e+06,5.64437,2.54792
3.84e-08,0.0668284,1.40376e+06,5.6019,2.59245
3.85e-08,0.0669682,1.39841e+06,5.55924,2.63682
3.86e-08,0.0671075,1.39301e+06,5.51638,2.68102
3.87e-08,0.0672463,1.38756e+06,5.47335,2.72504
3.88e-08,0.0673845,1.38207e+06,5.43013,2.7689
3.89e-08,0.0675221,1.37654e+06,5.38674,2.81257
3.9e-08,0.0676592,1.37096e+06,5.34318,2.85608
3.91e-08,0.0677958,1.36534e+06,5.29946,2.8994
3.92e-08,0.0679317,1.35968e+06,5.25559,2.94255
3.93e-08,0.0680671,1.35397e+06,5.21156,2.98551
3.94e-08,0.0682019,1.34822e+06,5.16739,3.0283
3.95e-08,0.0683362,1.34243e+06,5.12308,3.0709
3.96e-08,0.0684698,1.33659e+06,5.07864,3.11332
3.97e-08,0.0686029,1.33072e+06,5.03406,3.15555
3.98e-08,0.0687354,1.32479e+06,4.98937,3.19759
3.99e-08,0.0688673,1.31883e+06,4.94456,3.23945
4e-08,0.0689986,1.31283e+06,4.89963,3.28112
4.01e-08,0.0691292,1.30678e+06,4.85461,3.32259
4.02e-08,0.0692593,1.30069e+06,4.80948,3.36388
4.03e-08,0.0693888,1.29456e+06,4.76425,3.40497
4.04e-08,0.0695176,1.28839e+06,4.71894,3.44587
4.05e-08,0.0696458,1.28218e+06,4.67355,3.48657
4.06e-08,0.0697734,1.27593e+06,4.62808,3.52707
4.07e-08,0.0699004,1.26964e+06,4.58254,3.56738
4.08e-08,0.0700267,1.2633e+06,4.53694,3.60748
4.09e-08,0.0701524,1.25693e+06,4.49127,3.65549
4.1e-08,0.0702774,1.25051e+06,4.44555,3.70653
4.11e-08,0.0704019,1.24406e+06,4.39979,3.75731
4.12e-08,0.0705256,1.23757e+06,4.35398,3.80783
4.13e-08,0.0706487,1.23104e+06,4.30814,3.85808
4.14e-08,0.0707712,1.22446e+06,4.26226,3.90807
4.15e-08,0.0708929,1.21785e+06,4.21636,3.95779
4.16e-08,0.0710141,1.2112e+06,4.17045,4.00724
4.17e-08,0.0711345,1.20452e+06,4.12452,4.05641
4.18e-08,0.0712543,1.19779e+06,4.07858,4.10532
4.19e-08,0.0713734,1.19102e+06,4.03265,4.15395
4.2e-08,0.0714918,1.18422e+06,3.98671,4.2023
4.21e-08,0.0716096,1.17738e+06,3.94079,4.25037
4.22e-08,0.0717266,1.1705e+06,3.89489,4.29817
4.23e-08,0.071843,1.16359e+06,3.84901,4.34569
4.24e-08,0.0719586,1.15664e+06,3.80315,4.39292
4.25e-08,0.0720736,1.14965e+06,3.75733,4.43987
4.26e-08,0.0721879,1.14262e+06,3.71155,4.48653
4.27e-08,0.0723014,1.13556e+06,3.66582,4.53291
4.28e-08,0.0724143,1.12847e+06,3.62014,4.579
4.29e-08,0.0725264,1.12133e+06,3.57451,4.6248
4.3e-08,0.0726378,1.11416e+06,3.52895,4.67031
4.31e-08,0.0727485,1.10696e+06,3.48346,4.71552
4.32e-08,0.0728585,1.09972e+06,3.43804,4.76044
4.33e-08,0.0729677,1.09244e+06,3.39271,4.80507
4.34e-08,0.0730762,1.08513e+06,3.34745,4.8494
4.35e-08,0.073184,1.07779e+06,3.3023,4.89343
4.36e-08,0.0732911,1.07041e+06,3.25724,4.93716
4.37e-08,0.0733974,1.063e+06,3.21228,4.98059
4.38e-08,0.0735029,1.05555e+06,3.16743,5.02372
4.39e-08,0.0736077,1.04807e+06,3.1227,5.06654
4.4e-08,0.0737118,1.04056e+06,3.07809,5.10906
4.41e-08,0.0738151,1.03301e+06,3.0336,5.15127
4.42e-08,0.0739176,1.02543e+06,2.98925,5.19317
4.43e-08,0.0740194,1.01782e+06,2.94503,5.23477
4.44e-08,0.0741204,1.01018e+06,2.90096,5.27605
4.45e-08,0.0742207,1.0025e+06,2.85704,5.31702
4.46e-08,0.0743202,994790,2.81327,5.35768
4.47e-08,0.0744189,987050,2.76966,5.39803
4.48e-08,0.0745168,979279,2.72622,5.43805
4.49e-08,0.0746139,971476,2.68295,5.47777
4.5e-08,0.0747103,963642,2.63986,5.51716
4.51e-08,0.0748059,955778,2.59694,5.55623
4.52e-08,0.0749007,947883,2.55422,5.59499
4.53e-08,0.0749947,939958,2.51169,5.63342
4.54e-08,0.0750879,932004,2.46936,5.67526
4.55e-08,0.0751803,924019,2.42723,5.72144
4.56e-08,0.0752719,916005,2.38531,5.76722
4.57e-08,0.0753627,907962,2.3436,5.8126
4.58e-08,0.0754526,899890,2.30212,5.85758
4.59e-08,0.0755418,891790,2.26086,5.90216
4.6e-08,0.0756302,883661,2.21983,5.94633
4.61e-08,0.0757177,875504,2.17904,5.9901
4.62e-08,0.0758045,867319,2.13848,6.03347
4.63e-08,0.0758904,859106,2.09818,6.07642
4.64e-08,0.0759755,850866,2.05812,6.11897
4.65e-08,0.0760597,842599,2.01832,6.1611
4.66e-08,0.0761432,834305,1.97879,6.20282
4.67e-08,0.0762258,825985,1.93951,6.24413
4.68e-08,0.0763075,817638,1.90051,6.28503
4.69e-08,0.0763884,809266,1.86179,6.32551
4.7e-08,0.0764685,800867,1.82335,6.36557
4.71e-08,0.0765478,792443,1.78519,6.40521
