ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,mp_count.e-,real_count.e-,px.e-,py.e-,pz.e-,KE.e-,PE,E_total
63,1.28e-08,0.843099,68921,8e+08,8.61121e-19,8.61121e-19,8.61741e-19,1.24794e-16,9261,1e+08,2.9043e-18,2.9043e-18,2.9043e-18,2.17829e-13,7.66414e-11,7.68594e-11
64,1.3e-08,0.857812,68921,8e+08,1.08297e-18,1.08297e-18,1.08152e-18,1.28805e-16,9261,1e+08,2.95038e-18,2.95038e-18,2.95038e-18,2.24773e-13,7.66345e-11,7.68594e-11
65,1.32e-08,0.873732,68921,8e+08,1.08454e-18,1.08454e-18,1.08355e-18,1.32831e-16,9261,1e+08,2.99646e-18,2.99646e-18,2.99646e-18,2.31825e-13,7.66274e-11,7.68594e-11
66,1.34e-08,0.887438,68921,8e+08,1.08552e-18,1.08552e-18,1.08453e-18,1.36922e-16,9261,1e+08,3.04254e-18,3.04254e-18,3.04254e-18,2.38985e-13,7.66203e-11,7.68594e-11
67,1.36e-08,0.901225,68921,8e+08,1.08695e-18,1.08695e-18,1.0862e-18,1.41079e-16,9261,1e+08,3.08862e-18,3.08862e-18,3.08862e-18,2.46252e-13,7.6613e-11,7.68594e-11
68,1.38e-08,0.914688,68921,8e+08,1.08881e-18,1.08881e-18,1.08891e-18,1.45302e-16,9261,1e+08,3.1347e-18,3.1347e-18,3.1347e-18,2.53626e-13,7.66057e-11,7.68594e-11
69,1.4e-08,0.928532,68921,8e+08,1.09023e-18,1.09023e-18,1.09058e-18,1.49591e-16,9261,1e+08,3.18077e-18,3.18077e-18,3.18077e-18,2.61108e-13,7.65982e-11,7.68595e-11
70,1.42e-08,0.944699,68921,8e+08,1.09121e-18,1.09121e-18,1.09156e-18,1.53945e-16,9261,1e+08,3.22685e-18,3.22685e-18,3.22685e-18,2.68697e-13,7.65906e-11,7.68595e-11
71,1.44e-08,0.96065,68921,8e+08,1.09264e-18,1.09264e-18,1.09323e-18,1.58365e-16,9261,1e+08,3.27292e-18,3.27292e-18,3.27292e-18,2.76393e-13,7.6583e-11,7.68595e-11
72,1.46e-08,0.976429,68921,8e+08,1.09449e-18,1.09449e-18,1.09452e-18,1.6285e-16,9261,1e+08,3.31899e-18,3.31899e-18,3.31899e-18,2.84197e-13,7.65752e-11,7.68595e-11
73,1.48e-08,0.991557,68921,8e+08,1.09606e-18,1.09606e-18,1.0964e-18,1.67401e-16,9261,1e+08,3.36506e-18,3.36506e-18,3.36506e-18,2.92108e-13,7.65673e-11,7.68595e-11
74,1.5e-08,1.00545,68921,8e+08,1.09704e-18,1.09704e-18,1.09738e-18,1.72017e-16,9261,1e+08,3.41114e-18,3.41114e-18,3.41114e-18,3.00125e-13,7.65593e-11,7.68596e-11
75,1.52e-08,1.01881,68921,8e+08,1.09846e-18,1.09846e-18,1.09905e-18,1.76699e-16,9261,1e+08,3.4572e-18,3.4572e-18,3.4572e-18,3.0825e-13,7.65512e-11,7.68596e-11
76,1.54e-08,1.03266,68921,8e+08,1.10012e-18,1.10012e-18,1.10027e-18,1.81446e-16,9261,1e+08,3.50327e-18,3.50327e-18,3.50327e-18,3.16481e-13,7.65429e-11,7.68596e-11
77,1.56e-08,1.04567,68921,8e+08,1.10155e-18,1.10155e-18,1.10194e-18,1.86259e-16,9261,1e+08,3.54934e-18,3.54934e-18,3.54934e-18,3.24819e-13,7.65346e-11,7.68596e-11
78,1.58e-08,1.05998,68921,8e+08,1.10253e-18,1.10253e-18,1.10291e-18,1.91138e-16,9261,1e+08,3.59541e-18,3.59541e-18,3.59541e-18,3.33264e-13,7.65262e-11,7.68596e-11
79,1.6e-08,1.0736,68921,8e+08,1.10395e-18,1.10395e-18,1.10458e-18,1.96082e-16,9261,1e+08,3.64147e-18,3.64147e-18,3.64147e-18,3.41815e-13,7.65176e-11,7.68597e-11
80,1.62e-08,1.08757,68921,8e+08,1.10542e-18,1.10542e-18,1.10583e-18,2.01091e-16,9261,1e+08,3.68753e-18,3.68753e-18,3.68753e-18,3.50472e-13,7.6509e-11,7.68597e-11
81,1.64e-08,1.10098,68921,8e+08,1.35481e-18,1.35481e-18,1.35338e-18,2.06166e-16,9261,1e+08,3.7336e-18,3.7336e-18,3.7336e-18,3.59236e-13,7.65002e-11,7.68597e-11
82,1.66e-08,1.11399,68921,8e+08,1.35579e-18,1.35579e-18,1.35435e-18,2.1125e-16,9261,1e+08,3.77966e-18,3.77966e-18,3.77966e-18,3.68106e-13,7.64914e-11,7.68597e-11
83,1.68e-08,1.12723,68921,8e+08,1.35722e-18,1.35722e-18,1.35602e-18,2.164e-16,9261,1e+08,3.82572e-18,3.82572e-18,3.82572e-18,3.77083e-13,7.64824e-11,7.68597e-11
84,1.7e-08,1.14117,68921,8e+08,1.35868e-18,1.35868e-18,1.35719e-18,2.21615e-16,9261,1e+08,3.87178e-18,3.87178e-18,3.87178e-18,3.86165e-13,7.64733e-11,7.68597e-11
85,1.72e-08,1.15499,68921,8e+08,1.36038e-18,1.36038e-18,1.36092e-18,2.26895e-16,9261,1e+08,3.91783e-18,3.91783e-18,3.91783e-18,3.95353e-13,7.64642e-11,7.68597e-11
86,1.74e-08,1.16869,68921,8e+08,1.36136e-18,1.36136e-18,1.3619e-18,2.32241e-16,9261,1e+08,3.96389e-18,3.96389e-18,3.96389e-18,4.04648e-13,7.64549e-11,7.68598e-11
87,1.76e-08,1.18292,68921,8e+08,1.36278e-18,1.36278e-18,1.36357e-18,2.37652e-16,9261,1e+08,4.00994e-18,4.00994e-18,4.00994e-18,4.14047e-13,7.64455e-11,7.68598e-11
88,1.78e-08,1.19712,68921,8e+08,1.36438e-18,1.36438e-18,1.36454e-18,2.43128e-16,9261,1e+08,4.056e-18,4.056e-18,4.056e-18,4.23553e-13,7.6436e-11,7.68598e-11
89,1.8e-08,1.21043,68921,8e+08,1.36631e-18,1.36631e-18,1.36656e-18,2.4867e-16,9261,1e+08,4.10205e-18,4.10205e-18,4.10205e-18,4.33164e-13,7.64264e-11,7.68598e-11
